Title,Item number,Quantity
1949 72nd Birthday Lucky Keyring - Double Rim effect - Genuine 1949 sixpence ,333123239848,4
1949 72nd Lucky Sixpence Domed Pendant + 18in SS Birthday Anniversary 1947-1951,233513375547,5
1949 72nd Lucky Sixpence Domed Sixpence Charm Birthday  Anniversary 1947-1951,333534282653,5
1949 72nd Lucky Sixpence Domed Sixpence Keyring Birthday  Anniversary 1947-1951,333534281513,50
1949 Two Tone Farthing Coin Cufflinks 72nd Birthday 72nd birthday 1949 coins,233463046467,10
1950 71st Birthday Lucky Keyring - Double Rim effect - Genuine 1950 sixpence ,333476628596,2
1950 71st birthday lucky sixpence wedding anniversary Premium - Boxed,233471727372,9
1950 71st Lucky Sixpence Domed Pendant + 18in SS Birthday Anniversary 1947-1951,233513352378,4
1950 71st Lucky Sixpence Domed Sixpence Charm Birthday  Anniversary 1947-1951,333534268974,5
1950 Threepence 3d 71st birthday Cufflinks - 71st birthday 1950 coin slv,233463075773,19
1950 Threepence 3d 71st birthday Cufflinks 71st birthday 1950 coin cufflinks HT,333476693869,3
1951 50th Lucky Sixpence Domed Pendant + 18in SS Birthday Anniversary 1947-1951,233513375663,5
1951 50th Lucky Sixpence Domed Sixpence Charm Birthday  Anniversary 1947-1951,233513377070,5
1951 50th Lucky Sixpence Domed Sixpence Keyring Birthday  Anniversary 1947-1951,333534281730,50
1951 70th birthday,233926351032,7
1951 70th Birthday Anniversary Farthing Domed Keyring 1937 - 1956,333510955517,93
1951 70th Birthday Anniversary Farthing Domed Pendant 1937 - 1956 18in Chain,333510957574,100
1951 70th Birthday Threepence keyring - 70th birthday 1951 threepence coin,233484503378,45
1951 70th Lucky Sixpence Domed Pendant + 18in SS Birthday Anniversary 1947-1951,333534280892,4
1951 70th Lucky Sixpence Domed Sixpence Birthday Anniversary 1937-1951 18in ch,333510920201,12
1951 70th Lucky Sixpence Domed Sixpence Birthday Anniversary 1937-1951 keyring,333510921854,132
1951 70th Lucky Sixpence Domed Sixpence Charm Birthday  Anniversary 1947-1951,233513376765,3
1951 70th Lucky Sixpence Fancy Sixpence Birthday Anniversary 1937-1951 18in ch,333510939847,13
1951 70th Lucky Sixpence Fine Sixpence Birthday Anniversary 1937-1951 18in ch,233491368163,14
1951 70th Lucky Sixpence Rim Sixpence Birthday Anniversary 1937-1951 18in ch,233491369181,13
1951 71st Lucky Sixpence Domed Sixpence Keyring Birthday  Anniversary 1947-1951,333534275483,50
1952 Threepence 3d 69th birthday Cufflinks - 69th birthday 1952 cufflinks boxed,231128811248,35
1953 68th Birthday lucky sixpence coin bracelet charm ready to hang 1953 gift,331099385348,14
1953 Sixpence Coin Cufflinks Mens 67th Birthday Gift / Present / Anniversary,231267075625,20
1954 67th birthday lucky sixpence earrings - WOW great gift idea,330749914443,7
1955 66th Birthday Lucky Sixpence Keyring - Fine 65th 1955 - Gift Boxed  ,232662479440,10
1955 66th Birthday Lucky Sixpence Keyring - Owl 65th 1955 - Gift Boxed ,332551877088,4
1955 lucky Sixpence Luxury Cufflinks - Gift Boxed,231481617686,33
1955 Sixpence Anchor Keyring for 66th Birthday Gift boxed,233300607288,9
1955 Sixpence Coin Cufflinks Mens 66th Birthday Gift / Present / Anniversary,331191603786,9
1955 Sixpence Coin Cufflinks Mens 66th Birthday Gift / Present / Anniversary gld,333140695891,54
1955 Sixpence Coin Cufflinks Mens 66th Birthday Gift / Present / Anniversary HT,331679116437,46
1955 Sixpence Coin Cufflinks Quality Mens 66th Birthday Gift HT,231717736788,29
1956 65th Birthday Lucky Sixpence Keyring - Owl 64th 1956 - Gift Boxed ,232662469417,7
1956 65th Birthday Sixpence Coin Cufflinks Mens Gift fathers day gifts,231880212571,34
1956 65th Birthday Threepence keyring - 1956 65th Birthday threepence coin,331685065975,7
1956 65th Lucky Sixpence Domed Pendant + 18in SS Birthday Anniversary 1953-1967,333534187007,150
1956 65th Lucky Sixpence Domed Sixpence Charm Birthday  Anniversary 1953-1967,233512718592,146
1956 65th Lucky Sixpence Domed Sixpence Keyring Birthday  Anniversary 1953-1967,333533623709,145
1956 Lucky Sixpence Coin Cufflinks Mens 65th Birthday Gift Anniversary HT 1956,231846992434,45
1956 Luxury Sixpence Coin Cufflinks HT,231717726174,48
1956 Sixpence Coin Cufflinks Mens 65th Birthday Gift / Present / Anniversary,231267076828,13
1956 Threepence 3d 65th birthday Cufflinks - 65th birthday 1956 cufflinks HT,231128865842,4
1956 Threepence Cufflinks 65th Birthday Fathers day gift idea for dad - HT slv,233506580638,10
1956 Threepence Cufflinks for a 65th Birthday Fathers day gift idea for dad,331099391223,3
1956 Threepence Cufflinks for a 65th Birthday Fathers day gift idea for dad - HT,233191776818,10
1957 64th Birthday lucky sixpence coin bracelet charm ready to hang 1957 gift,330896002530,6
1957 64th Birthday Lucky Sixpence Keyring - Fine 64th 1957 - Gift Boxed,232662479598,10
1957 64th Birthday Lucky Sixpence Keyring - Owl 64th 1957 - Gift Boxed,232662469314,8
1957 LUCKY SIXPENCE CUFFLINKS BIRTHDAY CELEBRATION BIRTH YEAR 64th GIFT ,332273148551,27
1957 Sixpence Coin Cufflinks Mens 64th Birthday Gift / Present / Anniversary HT,232201413810,16
1957 Sixpence Owl Keyring for 64th Birthday Gift boxed,232261311091,15
1958 63rd Birthday Lucky Sixpence Keyring - Fine 63rd 1958 - Gift Boxed,232662479408,5
1958 63rd Birthday Lucky Sixpence Keyring - Owl 63rd 1958 - Gift Boxed,232662447902,2
1958 63rd Birthday Sixpence Coin Cufflinks Mens  Gift / Present / Anniversary HT,232635171468,45
1958 Sixpence Coin Cufflinks Mens 63rd Birthday Gift / Present / Anniversary,331243370089,11
1959 62nd Birthday lucky sixpence coin bracelet charm ready to hang 1959 gift,331099946720,3
1959 62nd Birthday Lucky Sixpence Keyring - Owl 62nd 1959 - Gift Boxed ,232662469453,1
1959 Threepence 3d 62nd birthday Cufflinks - 62nd birthday 1959 coin cufflinks,330854937253,7
1960 61st Birthday lucky sixpence coin bracelet charm ready to hang 1960 gift,231129457693,4
1960 61st Birthday Lucky Sixpence Keyring - Fine 61st 1960 - Gift Boxed,332551886277,10
1961 60th Birthday lucky sixpence coin bracelet charm ready to hang 1960 gift,330896002231,6
1961 60th Birthday Lucky sixpence Floral Pendant with 22 inch leather cord,332733206398,10
1961 60th Birthday Lucky Sixpence Keyring - Fine 60th 1961 - Gift Boxed,232662479915,9
1961 60th Birthday Lucky Sixpence Keyring - Owl 60th 1961 - Gift Boxed,332551877604,3
1961 60th Birthday Lucky Sixpence Keyring - Owl 60th 1961 - Gift Boxed ,332551870387,4
1961 60th Birthday Lucky sixpence Link Pendant + 18in Sterling Silver Chain,232635208197,7
1961 60th Birthday Lucky Sixpence Rabbit Fob - 60th 1961 - Gift Boxed ,232664629626,3
1961 60th Birthday Threepence keyring - 60th birthday 1961 threepence coin,233484502352,47
1961 60th Lucky Sixpence Domed Sixpence Birthday Anniversary 1953-1967 18in ch,333510908533,148
1961 60th Lucky Sixpence Fine Sixpence Birthday Anniversary 1953-1967 18in ch,333510937744,149
1961 60th Lucky Sixpence Floral Sixpence Birthday Anniversary 1953-1967 18in ch,233491366159,146
1961 60th Threepence 3d Domed Sixpence Keyring Birthday Anniversary 1953-1967,333547859498,147
1961 60th Threepence 3d Domed Sixpence Keyring Birthday Anniversary 1953-1967 GL,233529166087,149
1961 Sixpence Anchor Keyring for 60th Birthday Gift boxed,233329263731,3
1961 Sixpence Coin Cufflinks Mens 60th Birthday Gift / Present / Anniversary,231267079887,7
1961 Sixpence Coin Cufflinks Mens 60th Birthday Gift HT 2021,333987739183,62
1961 Threepence 3d 60th birthday Cufflinks - Fathers Day 1961 coin cufflinks,233204336732,11
1961 Threepence 3d 60th birthday Cufflinks - Fathers Day 1961 coin cufflinks HT,233461942231,11
1961 Threepence 3d 60th Cufflinks - 60th birthday 1961 cufflinks - HT slv,233506571502,2
1962 59th Birthday Lucky Sixpence Keyring - Fine 59th 1962 - Gift Boxed,232662479956,10
1963 58th Birthday lucky sixpence coin bracelet charm ready to hang 1963 gift,231129573806,6
1963 58th Birthday Lucky Sixpence Keyring - Owl 58th 1963 - Gift Boxed,332551880202,10
1963 Sixpence Coin Cufflinks Mens58th Birthday Gift / Present / Anniversary,331243374168,26
1963 Threepence 3d 58th birthday Cufflinks - 58th birthday 1963 coin cufflinks,231129601205,11
1964 57th Birthday Lucky Sixpence Keyring - Owl 57th 1964 - Gift Boxed,332551877676,6
1964 lucky sixpence coin bracelet charm ready to hang ,331100125758,4
1964 Sixpence Coin Cufflinks Mens 57th Birthday Gift / Present / Anniversary,231220034107,1
1965 56th Birthday Lucky Sixpence Keyring - Owl 56th 1965 - Gift Boxed,232662469592,6
1965 Sixpence Coin Cufflinks Mens 56th Birthday Gift / Present / Anniversary,331243246409,8
1965 Sixpence Coin Cufflinks Mens 56th Birthday Gift / Present / Anniversary HT,331679112790,50
1965 Sixpence Coin Cufflinks Quality Mens 56th Birthday Gift  HT,231717738066,24
1965 Sixpence for 56th  Wedding Anniversary Luxury Cufflinks,331522536425,29
1966 55th Birthday Lucky Sixpence Keyring - Fine 55th 1966 - Gift Boxed,232662480812,9
1966 55th Lucky Sixpence Domed Pendant + 18in SS Birthday Anniversary 1953-1967,233513261743,150
1966 55th Lucky Sixpence Domed Sixpence Charm Birthday  Anniversary 1953-1967,233512719052,143
1966 55th Threepence 3d Domed Sixpence Keyring Birthday Anniversary 1953-1967,333547859181,150
1966 Birthday 55th Lucky Sixpence Coin Cufflinks,331774248807,28
1966 Sixpence Coin Cufflinks Mens 55th Birthday Gift / Present / Anniversary,231266962957,37
1966 Sixpence Coin Cufflinks Quality Mens 55th Birthday Gift for  HT,331779301889,11
1966 Threepence 3d 55th birthday Cufflinks - 55th birthday 1966 cufflinks HT slv,233506584096,7
1967 54th Birthday lucky sixpence coin bracelet charm ready to hang 1967 gift,231130030664,8
1967 LUCKY SIXPENCE CUFFLINKS BIRTHDAY CELEBRATION BIRTH YEAR 54th ,232380538278,48
1967 Luxury Sixpence Coin Cufflinks Heads and Tails 54th birthday present - box,331994607442,48
1967 Sixpence Coin Cufflinks Mens 54th Birthday Gift - American Dime,332089532744,10
1968 American Dime Coin Cufflinks Mens 53rd Birthday Gift - 53rd Birthday 1968,232625940299,3
1971 50th Birthday Anniversary 1p Silver Plated Pendant & 18in SS Chain,231130038186,10
1971 Old 5p coin 50th Birthday Pendant & Chain - 50th birthday 1971 pendant,231130039014,1
1974 47th Birthday Anniversary 1p Silver Plated Pendant & 18in SS Chain,230771109136,10
1975 46th Birthday Anniversary 1p coin in a Silver Plated Pendant mount ,231445417944,1
1975 46th Birthday Anniversary 1p Silver Plated Pendant & 18in SS Chain,331439434039,5
1975 Canadian dime coin cufflinks- Great gift idea. 46th birthday coin cufflinks,233460626028,1
1978 Canadian dime coin cufflinks- Great gift idea. 43rd birthday coin cufflinks,233378792875,1
1979 42nd Birthday Anniversary 1p coin in a Silver Plated Pendant mount ,231130173032,5
1980 41st Birthday Anniversary 1p coin in a Silver Plated Pendant mount ,233465409049,5
1980 Old 5p coin 41st Birthday Pendant & Chain - 41st birthday 1980 pendant,233465409710,2
1986 Canadian dime coin cufflinks- Great gift idea. 35th birthday coin cufflinks,232524529964,1
1987 Coin Cufflinks Mens 34th Birthday Gift - American Dime,232203532524,9
1988 Birthday American Dime 33rd birthday cufflinks,332089536151,9
1989 32nd Birthday Anniversary 1p Silver Plated Pendant & 18in SS Chain,231130304288,8
1989 Old 5p coin 32nd Birthday Pendant & Chain - 32nd birthday 1989 pendant,233086490796,2
1991 30th Birthday Anniversary 1p coin in a Silver Plated Pendant mount ,333480257877,8
1992 Canadian dime coin cufflinks 29th Wedding Anniversary cufflinks,332291058975,1
1993 Canadian dime coin cufflinks- Great gift idea. 28th birthday coin cufflinks,332521594863,1
1994 Canadian dime coin cufflinks- Great gift idea. 27th birthday coin cufflinks,330861415253,1
1996 25th birthday American Dime cufflinks 25th birthday,232356867480,5
1998 23rd birthday American Dime cufflinks 23rd birthday,333385517908,1
1st Wedding Anniversary  Cufflinks - Paper Wedding Anniversary Cufflinks - Gift,331101666998,5
2004 American dime coin cufflinks,231620684616,11
2005 American dime coin cufflinks 16th Wedding Anniversary,331604285775,9
2005 Wedding Anniversary Cufflinks 16th Wedding Anniversary Cufflinks ,331101544789,10
2006 15th Crystal  Wedding anniversary American Dime cufflinks 15h birthday,332092973845,1
2007 14th Ivory Wedding Anniversary Canadian dime coin cufflinks box,232384295880,2
2008 Silk Wedding Anniversary - 13th Lace  Wedding Anniversary  Cufflinks,232626255919,190
2011 10th Tin wedding anniversary pendant 18in sterling silver ch,231130908199,4
2013 8th Bronze wedding anniversary cufflinks - Copper 1p coins from 2013 HT,333476713436,10
2013 Gift idea 8th Bronze wedding anniversary cufflinks,333476708975,38
3rd Wedding Anniversary  Cufflinks - Fruit Wedding Anniversary Cufflinks,231130962240,14
44th birthday coin cufflinks 1977 Canadian dime coin cufflinks Great gift idea.,232508221270,1
4th Wedding Anniversary  Cufflinks - Fruit Wedding Anniversary Cufflinks gift,331101639794,12
51st Birthday Irish Threepence coin cufflinks,232625943514,1
52nd Birthday lucky sixpence coin bracelet charm ready to hang ,231129574708,8
53rd Birthday Gift / Present / Anniversary,231521617719,29
55th Birthday gift 1966 Lucky Sixpence Luxury Coin Cufflinks,331774249358,24
56th Birthday Irish Threepence coin cufflinks - Great gift idea 1965 3d,231521617241,9
60th Anniversary Threepence Cufflinks - Diamond Wedding cufflinks 1961 boxed HT,233461922772,10
60th Birthday 1961 Lucky Sixpence Fancy Pendant plus Sterling Silver 18in Chain,233461918220,9
60th Birthday 1961 Lucky Sixpence Fine Pendant plus Sterling Silver 20in Chain,333474809943,9
60th Birthday 1961 Lucky Sixpence Floral Pendant plus Sterling Silver 20in Chain,233461963093,10
60th Birthday 60 sixty Premium 1961 Lucky sixpence cufflinks for a 60th gld,333164650054,9
60th Birthday Gift - 1961 - LUCKY SIXPENCE COIN Charm 1953-1967,233512716953,147
60th Birthday Gift - 1961 - LUCKY SIXPENCE COIN cufflinks - Gift Boxed,232974204306,10
60th Birthday Gift - 1961 - LUCKY SIXPENCE COIN Cufflinks Mens HT ,333497154511,25
60th Birthday Gift - 1961 - LUCKY SIXPENCE COIN Domed Sixpence Keyring 1953-1967,233491337963,122
60th Birthday Gift - 1961 - LUCKY SIXPENCE COIN Fine Pendant plus SS 18in Chain,233461915603,4
60th Birthday Gift - 1961 - LUCKY SIXPENCE COIN Floral Pendant+ SS 18in Chain,233461916837,8
60th Birthday Gift - 1961 - LUCKY SIXPENCE Domed Pendant + 18in SS 1953-1967,233513261329,150
60th Birthday Gift - 1961 - LUCKY SIXPENCE Premium cufflinks gld ,233203955965,9
60th Birthday Gift - 1961 - THREEPENCE 3D - 60th birthday 1960 cufflinks - HT,233503284466,2
60th Birthday Gift Luxury 60th Birthday Mens Antique Sixpence Coin Cufflinks,233079591288,31
60th Birthday lucky sixpence coin bracelet charm ready to hang 1961 gift,233461902830,5
60th Birthday Lucky Sixpence Keyring - Owl 60th 1961 - Gift Boxed ,333474719585,8
60th Birthday Premium 1961 Lucky sixpence cufflinks 60th Sixty 60 Boxed slv,233203954754,5
60th Sixty 60 60th Birthday Premium 1961 Lucky sixpence cufflinks slv - Gift box,233203955120,10
61st Birthday Mens Luxury coin cufflinks HT,332087495116,48
62nd,332087506567,32
62nd Anniversary Threepence Cufflinks - 1959 boxed HT,333148138718,10
62nd Birthday 1959 Lucky Sixpence Fancy Pendant plus Sterling Silver 18in Chain,333351122601,5
62nd Birthday 1959 Lucky Sixpence Fine Pendant plus Sterling Silver 18in Chain,333351125892,6
62nd Birthday 1959 Lucky Sixpence Floral Pendant plus Sterling Silver 18in Chain,233361032265,10
63rd 1958 Birthday Anniversary Retirement Luxury Silver Sixpence Cufflinks Box,332733154323,33
63rd Birthday 1958 Luxury Silver Sixpence Coin Cufflinks Boxed Great Gift,232634217230,24
63rd Birthday 1958 Luxury Silver Sixpence Cufflinks Boxed 1958 coins for 61st,332631702606,33
63rd Birthday gift 1958 Lucky sixpence Link Pendant + 18in Sterling Silver Chain,232635204290,9
63rd Birthday Lucky Sixpence Keyring - Fine 63rd 1958 - Gift Boxed,232746638194,6
64th birthday 1957 coin cufflinks,332087494143,9
65th Birthday 1956  Irish coin cufflinks,334081232640,4
65th Birthday 1956 Lucky Sixpence Fancy Pendant plus Sterling Silver 18in Chain,333351135964,9
65th Birthday 1956 Lucky Sixpence Fine Pendant plus Sterling Silver 18in Chain,233361039530,10
65th Birthday 1956 Lucky Sixpence Floral Pendant plus Sterling Silver 18in Chain,333351134157,10
65th Birthday 1956 Sixpence Coin cufflinks,331765205605,32
68th Pendant 1953 Lucky sixpence 68th Birthday + Sterling Silver 18in chain,331099363104,9
70th Birthday 1951 Farthing Coin Cufflinks for 70th Anniversary Fathers Day Rose,333151523451,9
71st Birthday 1950 Lucky Sixpence Fancy Pendant plus Sterling Silver 20in Chain,233463061347,3
71st Birthday 1950 Lucky Sixpence Floral Pendant plus Sterling Silver 18in Chain,233463062714,9
73rd birthday cufflinks Lucky sixpence - Genuine polished 1948 sixpence,232746651939,15
73rd Birthday Irish 1948 Threepence coin cufflinks,232915846992,1
73rd Birthday Lucky Keyring - Double Rim effect - Genuine 1948 sixpence ,332632159927,7
78th Premium 1943 Lucky sixpence cufflinks  for a 78th Birthday cufflinks,232973729862,10
7th Copper wedding anniversary cufflinks - Copper 1p coins from 2014 Gift idea,233847543048,33
7th Copper wedding anniversary pendant - Copper 1p coins from 2014 7th Wedding,233847545474,58
7th Wedding Anniversary Charm - Copper Wedding Anniversary Charm gift,231130912747,18
7th Wedding Anniversary Cufflinks - Copper Wedding Anniversary Cufflinks gift,332733972989,38
81st Birthday cufflinks Premium 1940 Lucky Irish Threepence 3d,332848534694,10
8th Bronze wedding anniversary cufflinks - Bronze 1p coins from 2013 Gift HT,232224118352,30
8th Bronze wedding anniversary cufflinks - Bronze 1p coins from 2013 Gift idea,333476709246,34
8th Bronze wedding anniversary pendant - Bronze 1p coins from 2013 8th Wedding,232208550337,58
8th Wedding Anniversary  Cufflinks - Bronze Wedding Anniversary Cufflinks gift 5,331101609797,8
8th Wedding Anniversary  Cufflinks - Bronze Wedding Anniversary Cufflinks gift 5,332849129068,28
8th Wedding Anniversary  Cufflinks - Pottery Wedding Anniversary Cufflinks gift,231130907753,7
8th Wedding Anniversary Cufflinks - Pottery Wedding Anniversary Cufflinks gift,331919231337,7
90th Birthday 1931 Lucky Sixpence Fancy Pendant plus Sterling Silver 18in Chain,233463073033,1
90th Birthday 1931 Lucky Sixpence Fine Pendant plus Sterling Silver 18in Chain,333476686265,1
91st Birthday 1930 Lucky Sixpence Floral Pendant plus Sterling Silver 18in Chain,233463074709,6
9th Potter 2012 wedding anniversary Spanish 1 Cent Cathedral Coin Cufflinks Box,232446759854,9
9th Pottery Wedding Anniversary 2012 Canadian dime coin cufflinks - Great Gift,231044493696,1
American dime cufflinks  2008 Wedding 13th Lace  Wedding Anniversary ,332520691920,27
Anniversary Birthday lucky Irish 3d threepence coin bracelet charm - Gift for ,333248324572,74
Anniversary Birthday lucky Irish 3d Threepence earrings - WOW great gift idea,333248330151,79
Birthday / anniversary 5p coin Bird keyring 1990-2016 Wedding Favours - ,333146744334,259
Birthday / anniversary 5p coin Heart keyring 1990-2016 Wedding Favours - ,333146745429,251
Birthday / anniversary 5p coin key keyring  1990-2016 Wedding Favours - ,333146738684,255
Birthday / anniversary 5p coin Star Burst keyring 1990-2016 Wedding Favours - ,333146754124,259
Birthday / Anniversary Irish 3d Threepence Domed coin pendant plus 18inch SS ch,333511063899,317
Birthday anniversary 5p coin Start Burst bookmark 1990-2016 Wedding Favours ,333218438735,259
Birthday Anniversary Farthing Floral Bookmark 1937 - 1956,333247573576,84
Birthday Anniversary Farthing Gold Plated Bracelet charm 1913 - 1936,233268745005,120
Birthday Anniversary Farthing Gold Plated Bracelet Charm 1937 - 1956,333247576493,96
Birthday Anniversary Farthing Gold Plated Pendant ready to hang 1937 - 1956,333247577526,92
Birthday Anniversary Farthing Silver Plated Pendant & 18in SS Chain 1913 - 1936,233268733875,120
Birthday Anniversary Farthing Silver Plated Pendant & 18in SS Chain 1937 - 1956,333247549112,97
Birthday Anniversary Farthing Silver Plated Pendant Ready to hang 1913 - 1936,233268738062,118
Birthday Anniversary Farthing Silver Plated Pendant ready to hang 1937 - 1956,233269894096,93
Birthday Anniversary Irish coin Start Burst Pendant 18 inch ss chain,233270674048,317
Birthday Farthing coin floral book mark 1913 - 1936 birthday gift - boxed,333246395042,115
